generation,average fitness hot,average fitness cold,fittest hot,fittest cold
0,14.033333333333333,5.966666666666667,19,14
1,15.866666666666667,4.133333333333334,19,11
2,16.966666666666665,3.033333333333333,20,7
3,17.6,2.4,20,7
4,18.133333333333333,1.8666666666666667,20,4
5,18.7,1.3,20,4
6,19.233333333333334,0.7666666666666667,20,3
7,19.033333333333335,0.9666666666666667,20,4
8,19.166666666666668,0.8333333333333334,20,3
9,19.233333333333334,0.7666666666666667,20,4
10,19.366666666666667,0.6333333333333333,20,2
11,19.166666666666668,0.8333333333333334,20,4
12,19.533333333333335,0.4666666666666667,20,3
13,18.966666666666665,1.0333333333333334,20,3
14,18.9,1.1,20,3
15,18.9,1.1,20,5
16,19.0,1.0,20,3
17,19.066666666666666,0.9333333333333333,20,3
18,18.733333333333334,1.2666666666666666,20,4
19,19.266666666666666,0.7333333333333333,20,2
20,19.066666666666666,0.9333333333333333,20,3
21,19.033333333333335,0.9666666666666667,20,3
22,19.033333333333335,0.9666666666666667,20,3
23,19.166666666666668,0.8333333333333334,20,3
24,19.066666666666666,0.9333333333333333,20,3
25,19.066666666666666,0.9333333333333333,20,4
26,19.033333333333335,0.9666666666666667,20,3
27,19.133333333333333,0.8666666666666667,20,3
28,19.1,0.9,20,3
29,19.1,0.9,20,3
