generation,average fitness hot,average fitness cold,fittest hot,fittest cold
0,14.9,5.1,18,11
1,16.5,3.5,20,8
2,17.7,2.3,20,5
3,18.4,1.6,20,4
4,18.9,1.1,20,3
5,18.966666666666665,1.0333333333333334,20,5
6,19.1,0.9,20,4
7,19.233333333333334,0.7666666666666667,20,2
8,19.066666666666666,0.9333333333333333,20,4
9,18.933333333333334,1.0666666666666667,20,3
10,19.066666666666666,0.9333333333333333,20,4
11,18.933333333333334,1.0666666666666667,20,3
12,19.0,1.0,20,5
13,19.033333333333335,0.9666666666666667,20,4
14,18.9,1.1,20,6
15,19.266666666666666,0.7333333333333333,20,4
16,19.366666666666667,0.6333333333333333,20,3
17,18.833333333333332,1.1666666666666667,20,4
18,19.066666666666666,0.9333333333333333,20,4
19,19.0,1.0,20,3
20,19.2,0.8,20,4
21,19.533333333333335,0.4666666666666667,20,2
22,19.166666666666668,0.8333333333333334,20,3
23,19.3,0.7,20,3
24,19.3,0.7,20,3
25,19.333333333333332,0.6666666666666666,20,2
26,19.333333333333332,0.6666666666666666,20,4
27,19.433333333333334,0.5666666666666667,20,2
28,19.366666666666667,0.6333333333333333,20,2
29,19.066666666666666,0.9333333333333333,20,2
